atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
1927320243,1168010100,D01,A1,1/10,70000,168,81,,37.493005,127.03913,주상복합1층상가 층고4.3m 주차대박 인테리어최상,"['10년이내', '1층', '주차가능', '엘리베이터']",노블공인중개사사무소
1927311617,1168010100,D02,A1,1/10,70000,168,81,,37.493005,127.03913,역삼동아파트상가 급매 층고4.3m굿 인테리어최상,"['10년이내', '테라스', '1층', '급매']",노블공인중개사사무소
1927254789,1168011500,D01,A1,14/20,47000,158,79,남향,37.487327,127.103144,귀한 남향 로얄존 시원하게 트인 탁월한 조망,"['25년이내', '역세권', '주차가능', '엘리베이터']",부동산모닝공인중개사
1927887494,1168010100,A02,A1,중/20,46000,159,76,,37.490972,127.031497,넓은 전용 귀한 매매. 입주 협의가능. 관리 물건입니다,"['25년이상', '대형평수', '방한개', '화장실한개']",명성공인중개사사무소
1927217089,1168011500,D02,A1,3/5,60000,171,86,,37.488372,127.102479,"운동시설.의원,마사지샆등 밀집된 건물이며 수서역 더블역세권 접근성 최고.","['25년이내', '역세권', '주차가능', '엘리베이터']",한미공인중개사
1927800837,1168010100,B02,A1,중/3,84760,145,48,남향,37.507238,127.039545,"매력적인 입지, 돈되는 가격","['2년이내', '역세권', '화장실한개', '대형평수']",월드마크공인중개사사무소
1927178782,1168010100,C02,A1,3/5,37000,276,26,,37.506252,127.045004,선릉역 역세권 주택가 신축 2룸입니다,"['4년이내', '역세권', '대형평수']",글로벌공인중개사사무소
1927155762,1168010500,D01,A1,4/19,65000,184,79,,37.507777,127.056632,포스코사거리 빌딩사무실 구분건물 사무실 급매매,['급매'],테헤란공인중개사사무소
1927593201,1168011300,A02,A1,저/10,83000,157,74,,37.473765,127.107157,세낀매매 남향 넓은 테라스,"['4년이내', '테라스', '화장실두개']",스마일공인중개사사무소
1927050263,1168010300,C02,A1,2/3,77000,144,84,,37.475738,127.049559,"지분이 많고 정원이 있는 빌라 방3,화2","['25년이상', '대형평수', '방세개', '화장실두개']",경신공인중개사사무소
1927009285,1168010500,D02,A1,-1/23,50000,182,98,,37.508015,127.055416,삼성역개발과 한전부지개발에 따른 시세차익으로 강추합니다,[],미광공인중개사사무소
1927600146,1168010100,A02,A1,중/20,80000,149,78,,37.508679,127.039412,중층실매물 수요많아 투자성좋고 내부깔끔 주차2대가능,"['15년이내', '역세권', '대형평수', '방두개']",한마음공인중개사사무소
1927518664,1168011800,A02,A1,고/14,72000,154,77,,37.487632,127.032954,귀한 월세 매물입니다,"['15년이내', '역세권', '대형평수', '방두개']",스카이공인중개사사무소
1926778021,1168011500,A02,A1,10/20,60000,171,85,남향,37.488077,127.101892,매입후 직접 입주할수있는 사무실,"['25년이내', '역세권', '화장실한개']",모닝공인중개사사무소
1926410966,1168011300,A02,A1,저/10,73000,142,73,,37.474159,127.107065,"버스정류장 인근 교통편리, 아파트형 오피스텔","['4년이내', '화장실두개', '대형평수']",스마일공인중개사사무소
1926402115,1168011300,A02,A1,저/10,87000,153,74,,37.474159,127.107065,아파트 구조의 3룸 세입자 승계.,"['4년이내', '대형평수', '방세개']",강남SRT공인중개사사무소
1927477377,1168011500,D01,A1,2/20,70000,199,119,,37.486772,127.103178,"입주협의가능,대표실,회의실 구분, 깨끗,트인전망","['25년이내', '역세권', '관리비10만원이하', '주차가능']",부동산랜드공인중개사사무소
1927461242,1168010500,D01,A1,3/10,100000,461,142,,37.510965,127.043984,SUV주차 가능한 선정능역 1분 대로변위치 입주가능한 구분건물매매,['역세권'],원공인중개사사무소
1927307493,1168011800,A02,A1,중/10,45000,133,62,남향,37.487313,127.051446,"특올수리,전세안고 매수가능","['25년이내', '올수리', '역세권', '화장실한개']",맥영타워공인중개사사무소
1926771863,1168011100,D02,A1,2/8,73000,183,100,,37.465783,127.101199,헌릉로 대로변 복합상가 내 상가매매합니다.,"['10년이내', '주차가능']",형제공인중개사
1926728681,1168010500,D02,A1,-1/23,45000,182,98,,37.508015,127.055416,,"['15년이내', '주차가능', '엘리베이터', '풀옵']",우리공인중개사사무소
